Time,Signal
138.75,0.37675783
139,0.353210466
139.25,0.21192628
139.5,0.023547364
139.75,0.21192628
140,0.094189458
140.25,-0.023547364
140.5,-0.094189458
140.75,-0.094189458
141,-0.117736822
141.25,-0.164831551
141.5,-0.353210466
141.75,-0.541589381
142,-0.565136746
142.25,-0.682873568
142.5,-0.988989305
142.75,-1.059631398
143,-1.153820856
143.25,-1.3892945
143.5,-1.483483957
143.75,-1.483483957
144,-1.436389228
144.25,-1.318652406
144.5,-1.083178762
144.75,-1.012536669
145,-0.729968296
145.25,-0.565136746
145.5,-0.282568373
145.75,-0.117736822
146,0
146.25,0.282568373
146.5,0.37675783
146.75,0.37675783
147,0.423852559
147.25,0.518042017
147.5,0.565136746
147.75,0.58868411
148,0.612231474
148.25,0.659326203
148.5,0.635778839
148.75,0.682873568
149,0.753515661
149.25,0.824157754
149.5,0.894799847
149.75,1.200915584
150,1.483483957
150.25,1.930883881
150.5,2.472473262
150.75,3.155346829
151,3.932409855
151.25,4.827209702
151.5,5.839746371
151.75,6.85228304
152,7.864819709
152.25,8.736072192
152.5,9.442493124
152.75,9.79570359
153,9.725061497
153.25,9.136377387
153.5,8.123840718
153.75,6.663904125
154,4.803662337
154.25,2.755041635
154.5,0.612231474
154.75,-1.483483957
155,-3.32017838
155.25,-4.944946524
155.5,-6.287146294
155.75,-7.417419786
156,-8.335766997
156.25,-8.9950932
156.5,-9.466040488
156.75,-9.701514132
157,-9.936987776
157.25,-9.889893048
157.5,-9.58377731
157.75,-9.41894576
158,-9.042187929
158.25,-8.594788006
158.5,-8.076745989
158.75,-7.511609243
159,-7.087756684
159.25,-6.758093582
159.5,-5.8868411
159.75,-5.274609625
160,-4.70947288
160.25,-4.214978227
160.5,-3.767578304
160.75,-3.32017838
161,-2.94342055
161.25,-2.566662719
161.5,-2.307641711
161.75,-2.001525974
162,-1.907336516
162.25,-1.601220779
162.5,-1.930883881
162.75,-1.3892945
163,-1.059631398
163.25,-1.059631398
163.5,-1.036084034
163.75,-0.988989305
164,-0.918347212
164.25,-0.80061039
164.5,-0.729968296
164.75,-0.659326203
165,-0.635778839
165.25,-0.58868411
165.5,-0.58868411
165.75,-0.58868411
166,-0.58868411
166.25,-0.565136746
166.5,-0.58868411
166.75,-0.565136746
167,-0.58868411
167.25,-0.58868411
167.5,-0.58868411
167.75,-0.565136746
168,-0.565136746
168.25,-0.565136746
168.5,-0.565136746
168.75,-0.565136746
169,-0.565136746
169.25,-0.565136746
169.5,-0.565136746
169.75,-0.541589381
170,-0.518042017
170.25,-0.470947288
170.5,-0.37675783
170.75,-0.329663102
171,-0.235473644
171.25,-0.188378915
171.5,-0.141284186
171.75,-0.117736822
172,-0.117736822
172.25,-0.094189458
172.5,-0.117736822
172.75,-0.094189458
173,-0.094189458
173.25,-0.094189458
173.5,-0.094189458
173.75,-0.094189458
174,-0.094189458
174.25,-0.094189458
174.5,-0.094189458
174.75,-0.094189458
175,-0.094189458
175.25,-0.094189458
175.5,-0.094189458
175.75,-0.094189458
176,-0.117736822
176.25,-0.117736822
176.5,-0.117736822
176.75,-0.117736822
177,-0.117736822
177.25,-0.117736822
177.5,-0.117736822
177.75,-0.117736822
178,-0.117736822
178.25,-0.117736822
178.5,-0.094189458
178.75,-0.094189458
179,-0.094189458
179.25,-0.117736822
179.5,-0.094189458
179.75,-0.094189458
180,-0.094189458
180.25,-0.094189458
180.5,-0.094189458
180.75,-0.117736822
181,-0.117736822
181.25,-0.094189458
181.5,-0.117736822
181.75,-0.094189458
182,-0.094189458
182.25,-0.094189458
182.5,-0.023547364
182.75,0.282568373
183,0.423852559
183.25,0.894799847
183.5,1.483483957
183.75,2.425378533
184,3.767578304
184.25,5.769104278
184.5,8.783166921
184.75,13.13942933
185,19.73269137
185.25,28.86906875
185.5,41.39626661
185.75,58.77422154
186,81.6858071
186.25,111.4261283
186.5,148.9606272
186.75,195.1841035
187,250.3791257
187.25,314.7811673
187.5,387.7544496
187.75,467.9567727
188,553.6691791
188.25,642.6075744
188.5,732.0404644
188.75,819.118618
189,901.0163514
189.25,974.8137914
189.5,1038.203296
189.75,1090.054593
190,1129.590618
190.25,1156.175592
190.5,1170.021442
190.75,1171.363642
191,1160.93216
191.25,1140.163384
191.5,1110.164042
191.75,1072.511806
192,1028.760803
192.25,980.5358009
192.5,929.1554518
192.75,876.0325977
193,822.0855859
193.25,768.326953
193.5,715.4631199
193.75,664.1534129
194,614.7745897
194.25,567.5621241
194.5,522.9634159
194.75,481.0020126
195,441.936935
195.25,405.8388254
195.5,372.5663995
195.75,341.8135416
196,313.5096096
196.25,287.5368667
196.5,263.7304813
196.75,241.807885
197,221.7219832
197.25,203.4727758
197.5,186.6128629
197.75,171.4248128
198,157.5083205
198.25,144.9811226
198.5,133.3251772
198.75,123.0114316
199,113.6395806
199.25,104.7857716
199.5,97.01514132
199.75,89.99802673
200,83.54604889
200.25,77.49437624
200.5,72.07848242
200.75,67.20417799
201,62.84791558
201.25,58.84486363
201.5,55.24211688
201.75,51.94548586
202,48.79013903
202.25,45.84671848
202.5,43.28005577
202.75,40.92531933
203,38.78250916
203.25,36.80453056
203.5,34.94428877
203.75,33.2017838
204,31.67120512
204.25,30.23481589
204.5,28.96325821
204.75,27.78588999
205,26.72625859
205.25,25.66662719
205.5,24.67763789
205.75,23.75929068
206,22.93513292
206.25,22.18161726
206.5,21.45164897
206.75,20.81587013
207,20.22718602
207.25,19.61495454
207.5,19.0498178
207.75,18.50822842
208,17.80180749
208.25,17.42504966
208.5,17.11893392
208.75,16.78927082
209,16.55379717
209.25,16.31832353
209.5,16.01220779
209.75,15.91801833
210,15.77673415
210.25,15.49416577
210.5,15.44707105
210.75,15.42352368
211,15.39997632
211.25,15.30578686
211.5,15.18805004
211.75,15.18805004
212,15.14095531
212.25,15.09386058
212.5,15.04676585
212.75,15.07031322
213,15.04676585
213.25,15.02321849
213.5,14.97612376
213.75,14.99967112
214,14.99967112
214.25,14.97612376
214.5,14.97612376
214.75,14.97612376
215,14.97612376
215.25,14.95257639
215.5,14.8819343
215.75,14.78774484
216,14.59936593
216.25,14.50517647
216.5,14.48162911
216.75,14.31679755
217,14.05777655
217.25,13.98713445
217.5,13.77520817
217.75,13.56328189
218,13.39845034
218.25,13.09233461
218.5,12.95105042
218.75,12.62138732
219,12.36236631
219.25,12.12689267
219.5,11.82077693
219.75,11.63239801
220,11.25564018
220.25,11.02016654
220.5,10.7140508
220.75,10.40793506
